instrument,direction,qty,entry_ms,exit_ms,holding_ms,entry_price,exit_price,gross_pnl,fees,pnl,entry_fill_id,exit_fill_id,entry_decision_id,exit_decision_id,entry_reason,exit_reason
MSTR,long,141.0,1682710260000,1682710620000,360000,32.61,32.65,5.64,2.0613437190000004,3.5786562809999998,f-0280,f-0281,,,,
MSTR,long,145.0,1683048660000,1683049260000,600000,31.96,31.95,-1.45,2.076547465,-3.526547465,f-0282,f-0283,,,,
MSTR,long,147.0,1683122460000,1683122820000,360000,31.61,31.76,22.05,2.0876683632,19.9623316368,f-0284,f-0285,,,,
MSTR,long,148.0,1683295260000,1683295620000,360000,31.75,31.69,-8.88,2.1041280472,-10.9841280472,f-0286,f-0287,,,,
MSTR,long,154.0,1683554460000,1683554820000,360000,30.68,30.65,-4.62,2.1176138060000005,-6.737613806000001,f-0288,f-0289,,,,
MSTR,long,156.0,1683556260000,1683556620000,360000,30.07,29.87,-31.2,2.0971598232,-33.2971598232,f-0290,f-0291,,,,
MSTR,long,100.0,1683568860000,1683569220000,360000,30.11,29.82,-29.0,1.34410292,-30.34410292,f-0292,f-0293,,,,
LITE,long,99.0,1683640860000,1683641100000,240000,47.0,46.515,-48.015,2.0655479691000007,-50.0805479691,f-0294,f-0295,,,,
MSTR,long,154.0,1683644460000,1683644880000,420000,29.9,29.7,-30.8,2.058700028,-32.858700028,f-0296,f-0297,,,,
MSTR,long,85.0,1683815460000,1683815820000,360000,29.59,29.25,-28.9,1.1220046750000001,-30.022004675,f-0298,f-0299,,,,
MSTR,long,158.0,1683822660000,1683823020000,360000,29.03,28.99,-6.32,2.0570208652,-8.3770208652,f-0300,f-0301,,,,
MSTR,long,166.0,1684162860000,1684163280000,420000,27.9,28.0,16.6,2.08341288,14.51658712,f-0302,f-0303,,,,
MSTR,long,164.0,1684431060000,1684431600000,540000,28.65,28.44,-34.44,2.1013953696,-36.541395369600004,f-0304,f-0305,,,,
MSTR,long,172.0,1685030460000,1685031000000,540000,27.72,27.59,-22.36,2.1362460888,-24.4962460888,f-0306,f-0307,,,,
LITE,long,91.0,1685113260000,1685113440000,180000,52.135,52.35,19.565,2.1193482310000005,17.445651769,f-0308,f-0309,,,,
MSTR,long,162.0,1685629860000,1685630520000,660000,29.87,30.06,30.78,2.1775268232,28.6024731768,f-0310,f-0311,,,,
MSTR,long,160.0,1685635260000,1685635860000,600000,30.35,30.41,9.6,2.1799751360000004,7.420024863999999,f-0312,f-0313,,,,
MSTR,long,167.0,1685718060000,1685718420000,360000,29.29,29.31,3.34,2.1956122262,1.1443877737999997,f-0314,f-0315,,,,
MSTR,long,174.0,1685979060000,1685979420000,360000,28.18,27.97,-36.54,2.1933775668,-38.7333775668,f-0316,f-0317,,,,
MSTR,long,167.0,1686148260000,1686148620000,360000,29.44,29.37,-11.69,2.2033482674,-13.8933482674,f-0318,f-0319,,,,
LITE,long,87.0,1686769260000,1686769440000,180000,57.08,57.04,-3.48,2.2114445088,-5.6914445088,f-0320,f-0321,,,,
MSTR,long,177.0,1686929520000,1686929940000,420000,28.4,28.37,-5.31,2.2554830694000003,-7.5654830694,f-0322,f-0323,,,,
LITE,long,80.0,1687273260000,1687273440000,180000,62.62,62.44,-14.4,2.2269461120000003,-16.626946112,f-0324,f-0325,,,,
LITE,long,81.0,1687280460000,1687280640000,180000,61.56,61.515,-3.645,2.2192558929000006,-5.8642558929,f-0326,f-0327,,,,
LITE,long,88.0,1687357860000,1687358040000,180000,57.26,57.26,0.0,2.2446472928000003,-2.2446472928000003,f-0328,f-0329,,,,
MSTR,long,152.0,1687536060000,1687536420000,360000,33.41,33.39,-3.04,2.2738870768000004,-5.3138870768,f-0330,f-0331,,,,
MSTR,long,154.0,1687537860000,1687538220000,360000,33.03,32.86,-26.18,2.2728077064000005,-28.4528077064,f-0332,f-0333,,,,
MSTR,long,119.0,1687795260000,1687795620000,360000,31.8,31.55,-29.75,1.6894421670000004,-31.439442167,f-0334,f-0335,,,,
MSTR,long,153.0,1688140860000,1688141280000,420000,33.31,33.3,-1.53,2.2824230940000003,-3.812423094,f-0336,f-0337,,,,
MSTR,long,150.0,1688146260000,1688146620000,360000,34.13,34.14,1.5,2.2927092600000005,-0.7927092600000005,f-0338,f-0339,,,,
MSTR,long,135.0,1688657460000,1688657820000,360000,36.93,37.15,29.7,2.2368324150000003,27.463167585,f-0340,f-0341,,,,
MSTR,long,137.0,1689003060000,1689003420000,360000,38.3,38.64,46.58,2.3565915808000004,44.2234084192,f-0342,f-0343,,,,
MSTR,long,131.0,1689100260000,1689100620000,360000,40.31,40.2,-14.41,2.3566915720000003,-16.766691572,f-0344,f-0345,,,,
MSTR,long,130.0,1689179460000,1689179820000,360000,40.9,41.01,14.3,2.3789584780000004,11.921041522,f-0346,f-0347,,,,
MSTR,long,118.0,1689357660000,1689358020000,360000,45.3,45.68,44.84,2.3959546944000003,42.4440453056,f-0348,f-0349,,,,
MSTR,long,120.0,1689359460000,1689359820000,360000,45.05,45.08,3.6,2.413975776,1.1860242239999998,f-0350,f-0351,,,,
MSTR,long,120.0,1689616920000,1689617280000,360000,45.21,45.15,-7.2,2.4200650800000005,-9.62006508,f-0352,f-0353,,,,
MSTR,long,118.0,1689618660000,1689619020000,360000,44.86,45.0,16.52,2.3667142,14.153285799999999,f-0354,f-0355,,,,
MSTR,long,123.0,1689699660000,1689700080000,420000,44.14,43.93,-25.83,2.4182901834000003,-28.2482901834,f-0356,f-0357,,,,
MSTR,long,120.0,1689778860000,1689779220000,360000,45.08,45.45,44.4,2.4246272400000004,41.97537276,f-0358,f-0359,,,,
MSTR,long,121.0,1689791460000,1689792120000,660000,45.26,45.32,7.26,2.4461310632,4.8138689368,f-0360,f-0361,,,,
MSTR,long,114.0,1690482660000,1690483080000,420000,42.57,42.52,-5.7,2.1662725968000003,-7.866272596800001,f-0362,f-0363,,,,
MSTR,long,144.0,1691071260000,1691071620000,360000,39.52,39.74,31.68,2.5508252736000006,29.1291747264,f-0364,f-0365,,,,
LITE,long,129.0,1692280860000,1692281040000,180000,45.77,45.72,-6.45,2.633790832800001,-9.0837908328,f-0366,f-0367,,,,
MSTR,long,151.0,1692975660000,1692976020000,360000,33.05,33.2,22.65,2.240597192,20.409402808,f-0368,f-0369,,,,
MSTR,long,135.0,1692990060000,1692990840000,780000,33.8,33.65,-20.25,2.038948065,-22.288948065,f-0370,f-0371,,,,
MSTR,long,174.0,1693317660000,1693318020000,360000,34.82,35.01,33.06,2.7195713844000005,30.3404286156,f-0372,f-0373,,,,
MSTR,long,183.0,1694628060000,1694628420000,360000,34.45,34.45,0.0,2.822585961,-2.822585961,f-0374,f-0375,,,,
MSTR,long,189.0,1696255260000,1696255620000,360000,34.7,34.03,-126.63,2.9078976402000003,-129.5378976402,f-0376,f-0377,,,,
MSTR,long,204.0,1696521660000,1696522140000,480000,31.89,31.83,-12.24,2.9129098392,-15.1529098392,f-0378,f-0379,,,,
MSTR,long,194.0,1696860060000,1696860480000,420000,33.51,33.48,-5.82,2.9103431472000003,-8.730343147200001,f-0380,f-0381,,,,
MSTR,long,192.0,1696946580000,1696947000000,420000,33.99,34.15,30.72,2.9291806080000002,27.790819392,f-0382,f-0383,,,,
MSTR,long,193.0,1697736660000,1697737020000,360000,34.67,34.42,-48.25,2.9848811036000007,-51.2348811036,f-0384,f-0385,,,,
MSTR,long,158.0,1698166860000,1698167220000,360000,42.42,42.66,37.92,3.002075776800001,34.9179242232,f-0386,f-0387,,,,
MSTR,long,158.0,1698168660000,1698169020000,360000,42.68,42.51,-26.86,3.0058505548000003,-29.8658505548,f-0388,f-0389,,,,
MSTR,long,158.0,1698170460000,1698170820000,360000,42.4,42.3,-15.8,2.9887498040000002,-18.788749804000002,f-0390,f-0391,,,,
MSTR,long,154.0,1698246060000,1698246420000,360000,43.64,43.8,24.64,3.006392312,21.633607688,f-0392,f-0393,,,,
MSTR,long,164.0,1698334260000,1698334620000,360000,41.24,41.46,36.08,3.029802846400001,33.050197153599996,f-0394,f-0395,,,,
MSTR,long,168.0,1698435060000,1698435420000,360000,40.58,40.45,-21.84,3.0416277360000006,-24.881627736000002,f-0396,f-0397,,,,
LITE,long,125.0,1698678060000,1698678240000,180000,41.07,41.02,-6.25,2.2924126500000006,-8.542412650000001,f-0398,f-0400,,,,
MSTR,long,39.0,1698678060000,1698678420000,360000,42.44,42.63,7.41,0.7409304942000002,6.6690695058,f-0399,f-0401,,,,
MSTR,long,162.0,1698863460000,1698863820000,360000,42.16,42.48,51.84,3.0623360256,48.7776639744,f-0402,f-0403,,,,
MSTR,long,163.0,1698865260000,1698865620000,360000,42.32,42.36,6.52,3.082633440800001,3.437366559199999,f-0404,f-0405,,,,
MSTR,long,159.0,1698935460000,1698935820000,360000,43.45,43.12,-52.47,3.0733471248000006,-55.5433471248,f-0406,f-0407,,,,
MSTR,long,149.0,1699025460000,1699025820000,360000,46.2,46.32,17.88,3.076078060800001,14.803921939199999,f-0408,f-0409,,,,
MSTR,long,125.0,1699635660000,1699636080000,420000,50.96,51.0,5.0,2.841407500000001,2.158592499999999,f-0410,f-0411,,,,
MSTR,long,140.0,1699974060000,1699974420000,360000,50.0,49.92,-11.2,3.1192329280000006,-14.319232928,f-0412,f-0413,,,,
MSTR,long,144.0,1701185460000,1701185820000,360000,49.89,49.97,11.52,3.2064679008000008,8.3135320992,f-0414,f-0415,,,,
MSTR,long,127.0,1701788460000,1701788820000,360000,57.39,57.04,-44.45,3.236862004800001,-47.6868620048,f-0416,f-0417,,,,
MSTR,long,127.0,1701885660000,1701886020000,360000,57.41,57.2,-26.67,3.241933064000001,-29.911933064,f-0418,f-0419,,,,
CIEN,long,157.0,1702047660000,1702047960000,300000,46.4901,46.28,-32.9857,3.2498621316000005,-36.2355621316,f-0420,f-0421,,,,
MSTR,long,115.0,1704294060000,1704294420000,360000,63.6,64.3,80.5,3.273527670000001,77.22647232999999,f-0422,f-0423,,,,
MSTR,long,119.0,1704297660000,1704298020000,360000,64.33,64.72,46.41,3.4175994608000004,42.9924005392,f-0424,f-0425,,,,
MSTR,long,121.0,1704479460000,1704479820000,360000,63.72,63.9,21.78,3.4367671140000007,18.343232886,f-0426,f-0427,,,,
MSTR,long,139.0,1704987060000,1704987420000,360000,56.25,55.85,-55.6,3.471115089000001,-59.071115089,f-0428,f-0429,,,,
MSTR,long,144.0,1704988860000,1704989220000,360000,53.98,54.17,27.36,3.4703409888000003,23.8896590112,f-0430,f-0431,,,,
MSTR,long,143.0,1705001460000,1705001820000,360000,54.56,54.51,-7.15,3.4752847558000006,-10.625284755800001,f-0432,f-0433,,,,
MSTR,long,144.0,1705005060000,1705005420000,360000,54.14,53.9,-34.56,3.4667760960000007,-38.026776096,f-0434,f-0435,,,,
MSTR,long,157.0,1705082460000,1705082820000,360000,49.29,49.25,-6.28,3.450115035000001,-9.730115035,f-0436,f-0437,,,,
MSTR,long,159.0,1705606260000,1705606620000,360000,49.05,48.87,-28.62,3.4722534798000004,-32.0922534798,f-0438,f-0439,,,,
MSTR,long,174.0,1706034660000,1706035200000,540000,45.14,45.0,-24.36,3.500619000000001,-27.860619,f-0440,f-0441,,,,
